category1,category2,category3,category4,service,issue,agree,disagree,noidea,expSol
공공질서및안전,소방,소방재난능력의 향상으로 안정적인 재난시스템 구축,소방용수시설 등의 설치 및 관리,소방용수시설 설치,공공 안전,1,1,1,1
국토및지역개발,지역및도시,남산의 입체적 개발을 통한 서울의 대표공원화,남산 및 산하공원 보수정비 사업,남산공원 소나기대피용 캐노피 설치(주민참여),공공 안전,0,1,2,0
기타,기타,행정운영경비(푸른도시국 산지방재과),기본경비,기본경비,공공 안전,0,1,1,0
국토및지역개발,지역및도시,세계적인 환경·생태 테마공원 육성,산하공원 운영,서부공원녹지사업소 산하공원 유지관리,공공 안전,0,1,2,0
일반공공행정,입법및선거관리,의정활동의 적극홍보 및 정보화 사업 추진,정보화 사업,본회의장 전광판 영상표출시스템 재구축,공공 안전,1,2,2,0
국토및지역개발,지역및도시,세계적인 환경·생태 테마공원 육성,산하공원 운영,월드컵공원 시설물 보수정비,공공 안전,4,1,1,0
문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 육성지원,"우리도서관 책은 깨끗하게, 반납은 간편하게(주민참여)",공공 안전,1,1,1,0
국토및지역개발,지역및도시,공원이용시민 만족도 향상,산림내 이용시설 및 조경관리 강화,서울대공원 비전 실행을 위한 기본계획 수립 용역,공공 안전,0,2,1,0
문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 육성지원,거마도서관 시설개선으로 아이들의 꿈을 찾아주세요(주민참여),공공 안전,0,1,2,0
수송및교통,도로,도로 건설,간선도로망 확충(도시개발특별),올림픽대로 하부 미연결구간 도로개설,공공 안전,2,1,2,0
문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 육성지원,도서관 컴퓨터가 너무 낡았어요(주민참여),공공 안전,0,2,1,0
기타,기타,재무활동(도시계획국 토지관리과),보전지출,국고보조금 반납,공공 안전,1,2,1,0
사회복지,주택,서민주거 안정도모,주택정책 수립(일반),주택정책 제도개선을 위한 위원회 운영,공공 안전,0,1,1,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,효율적 토지관리를 위한 인프라 구축 등,부동산 중개 서비스 개선,공공 안전,11,25,10,0
기타,기타,행정운영경비(도시계획국 토지관리과),기본경비,기본경비,공공 안전,2,2,2,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,효율적 토지관리를 위한 인프라 구축 등,네트워크 RTK시스템 및 KLIS 유지보수,공공 안전,7,8,7,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,효율적 토지관리를 위한 인프라 구축 등,수용재결통합관리시스템 유지관리 및 운영,공공 안전,1,2,3,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,효율적 토지관리를 위한 인프라 구축 등,한국토지정보시스템 노후장비 교체,공공 안전,8,5,1,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,효율적 토지관리를 위한 인프라 구축 등,부동산정보포털시스템 유지보수 및 기능개선,공공 안전,5,6,2,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,관련 위원회 운영,지방토지수용위원회 운영,공공 안전,1,2,1,0
국토및지역개발,지역및도시,도시계획관련 인프라 구축,관련 위원회 운영,지방지적위원회 운영,공공 안전,0,2,3,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,지하철 2호선 지상구간 지하화 용역 및 기본계획,공공 안전,3,1,2,0
기타,기타,행정운영경비(도시계획국 시설계획과),기본경비,기본경비,공공 안전,1,2,2,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,유휴철도시설 관리방안 수립 연구 용역,공공 안전,1,2,2,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,수색동 293번지 일대 도시계획적 활용방안 수립,공공 안전,1,2,2,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,학교시설 효율적 관리방안 연구,공공 안전,2,2,2,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,환경성 검토(생태면적률 등) 개선방안 연구,공공 안전,1,1,2,0
기타,기타,행정운영경비(주택건축국 주택정책과),기본경비,기본경비,공공 안전,0,2,2,0
기타,기타,행정운영경비(주택건축국 주택정책과),기본경비,기본경비(국민),공공 안전,0,1,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(도정),재개발 임대주택 위탁관리,공공 안전,1,0,3,0
사회복지,주택,일반예산(예비비-국민주택사업계정),예비비(주택건축국 주택정책과),예비비(국민),공공 안전,1,3,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(국민),서울시 표준지 주택가격산정 연구,공공 안전,2,2,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(도정),재개발 임대주택 매입,공공 안전,1,2,1,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(국민),기존주택 매입임대-다가구 주택,공공 안전,1,2,1,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(국민),신주택정책개발 연구수행,공공 안전,1,1,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(일반),임대주택종합개선대책 추진,공공 안전,1,2,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(일반),공공임대주택 최적 관리방안 연구,공공 안전,1,1,3,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(일반),영구임대주택 공동전기료 지원,공공 안전,1,1,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(일반),공동체주택 활성화 추진,공공 안전,0,2,1,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(일반),희망의 집수리사업,공공 안전,2,0,2,0
사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(일반),전월세 보증금지원센터 운영,공공 안전,1,1,2,0
사회복지,주택,서민주거 안정도모,건축주택정보관리 강화(일반),건축·주택 정보시스템 유지관리,공공 안전,8,3,2,0
사회복지,주택,서민주거 안정도모,건축주택정보관리 강화(일반),세움터(e-AIS) 노후서버 교체,공공 안전,1,2,2,0
