Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongPrecisionUnrel,WeakStrongRecallUnrel,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongPrecisionUnrel,StrongRecallUnrel,StrongAccuracy
공공 안전,3,0,1744,710,113,673,0.5133767172812725,0.8626974483596598,0.9391491653204093,0.7215556474968969,0.7574074074074074,1744,88,31,673,0.11563731931668857,0.7394957983193278,0.9825352112676057,0.7215556474968969,0.722397476340694
공공 안전,3,1,1001,506,40,285,0.6396965865992414,0.9267399267399268,0.9615754082612872,0.7783825816485226,0.8225982532751092,1001,57,9,285,0.16666666666666666,0.8636363636363636,0.9910891089108911,0.7783825816485226,0.7825443786982249
공공 안전,3,2,456,269,11,108,0.713527851458886,0.9607142857142857,0.9764453961456103,0.8085106382978723,0.8590047393364929,456,27,3,108,0.2,0.9,0.9934640522875817,0.8085106382978723,0.8131313131313131
공공 안전,3,3,165,130,0,50,0.7222222222222222,1.0,1.0,0.7674418604651163,0.855072463768116,165,10,0,50,0.16666666666666666,1.0,1.0,0.7674418604651163,0.7777777777777778
공공 안전,3,4,62,49,0,33,0.5975609756097561,1.0,1.0,0.6526315789473685,0.7708333333333334,62,3,0,33,0.08333333333333333,1.0,1.0,0.6526315789473685,0.6632653061224489
공공 안전,3,5,23,23,0,25,0.4791666666666667,1.0,1.0,0.4791666666666667,0.647887323943662,23,0,0,25,0.0,0,1.0,0.4791666666666667,0.4791666666666667
대기 오염(미세먼지 등),3,0,2969,128,82,279,0.3144963144963145,0.6095238095238096,0.97312356604392,0.9141009852216748,0.8956043956043956,2969,107,80,279,0.2772020725388601,0.5721925133689839,0.9737618891439817,0.9141009852216748,0.8954876273653566
대기 오염(미세먼지 등),3,1,2186,91,42,80,0.5321637426900585,0.6842105263157895,0.981149012567325,0.9646954986760812,0.9491454772822009,2186,71,41,80,0.47019867549668876,0.6339285714285714,0.9815895823978447,0.9646954986760812,0.9491169049621531
대기 오염(미세먼지 등),3,2,1343,52,19,28,0.65,0.7323943661971831,0.9860499265785609,0.9795769511305616,0.9674063800277393,1343,38,19,28,0.5757575757575758,0.6666666666666666,0.9860499265785609,0.9795769511305616,0.9670868347338936
대기 오염(미세먼지 등),3,3,674,33,7,14,0.7021276595744681,0.825,0.9897209985315712,0.9796511627906976,0.9711538461538461,674,23,7,14,0.6216216216216216,0.7666666666666667,0.9897209985315712,0.9796511627906976,0.9707520891364902
대기 오염(미세먼지 등),3,4,287,26,3,9,0.7428571428571429,0.896551724137931,0.9896551724137931,0.9695945945945946,0.963076923076923,287,18,3,9,0.6666666666666666,0.8571428571428571,0.9896551724137931,0.9695945945945946,0.9621451104100947
대기 오염(미세먼지 등),3,5,117,22,0,7,0.7586206896551724,1.0,1.0,0.9435483870967742,0.952054794520548,117,16,0,7,0.6956521739130435,1.0,1.0,0.9435483870967742,0.95
청년 실업,3,0,3457,52,15,205,0.20233463035019456,0.7761194029850746,0.9956797235023042,0.94401966138722,0.9410029498525073,3457,38,15,205,0.15637860082304528,0.7169811320754716,0.9956797235023042,0.94401966138722,0.9407806191117093
청년 실업,3,1,2948,39,10,70,0.3577981651376147,0.7959183673469388,0.9966193373901284,0.9768058316766071,0.973915878708836,2948,26,10,70,0.2708333333333333,0.7222222222222222,0.9966193373901284,0.9768058316766071,0.9738048461034708
청년 실업,3,2,2197,29,6,28,0.5087719298245614,0.8285714285714286,0.9972764412165229,0.9874157303370786,0.9849557522123894,2197,18,6,28,0.391304347826087,0.75,0.9972764412165229,0.9874157303370786,0.9848821698532682
청년 실업,3,3,1436,17,2,11,0.6071428571428571,0.8947368421052632,0.9986091794158554,0.9923980649619903,0.9911323328785812,1436,9,2,11,0.45,0.8181818181818182,0.9986091794158554,0.9923980649619903,0.9910836762688614
청년 실업,3,4,843,10,1,4,0.7142857142857143,0.9090909090909091,0.9988151658767772,0.9952774498229043,0.9941724941724942,843,6,1,4,0.6,0.8571428571428571,0.9988151658767772,0.9952774498229043,0.9941451990632318
청년 실업,3,5,410,2,1,1,0.6666666666666666,0.6666666666666666,0.9975669099756691,0.9975669099756691,0.9951690821256038,410,1,1,1,0.5,0.5,0.9975669099756691,0.9975669099756691,0.9951573849878934
