Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongAccuracy
공공 안전,0,0,1963,649,130,364,0.6406712734452122,0.8331193838254172,0.840952994204765,1963,76,42,364,0.17272727272727273,0.6440677966101694,0.8339468302658487
공공 안전,0,1,940,325,21,97,0.7701421800947867,0.9393063583815029,0.9146782357194505,940,35,8,97,0.26515151515151514,0.813953488372093,0.9027777777777778
공공 안전,0,2,262,120,5,17,0.8759124087591241,0.96,0.9455445544554455,262,11,0,17,0.39285714285714285,1.0,0.9413793103448276
공공 안전,0,3,64,31,0,2,0.9393939393939394,1.0,0.979381443298969,64,3,0,2,0.6,1.0,0.9710144927536232
공공 안전,0,4,7,6,0,0,1.0,1.0,1.0,7,0,0,0,0,0,1.0
공공 안전,0,5,0,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0
대기 오염(미세먼지 등),0,0,3399,99,117,71,0.5823529411764706,0.4583333333333333,0.9489962018448183,3399,78,115,71,0.5234899328859061,0.40414507772020725,0.9492219492219492
대기 오염(미세먼지 등),0,1,2237,41,44,14,0.7454545454545455,0.4823529411764706,0.9751712328767124,2237,27,44,14,0.6585365853658537,0.38028169014084506,0.9750215331610681
대기 오염(미세먼지 등),0,2,1013,19,10,3,0.8636363636363636,0.6551724137931034,0.9875598086124402,1013,10,10,3,0.7692307692307693,0.5,0.9874517374517374
대기 오염(미세먼지 등),0,3,302,7,2,0,1.0,0.7777777777777778,0.9935691318327974,302,4,2,0,1.0,0.6666666666666666,0.9935064935064936
대기 오염(미세먼지 등),0,4,62,2,1,0,1.0,0.6666666666666666,0.9846153846153847,62,0,1,0,0,0.0,0.9841269841269841
대기 오염(미세먼지 등),0,5,7,0,0,0,0,0,1.0,7,0,0,0,0,0,1.0
청년 실업,0,0,3652,41,22,94,0.3037037037037037,0.6507936507936508,0.9695458125492256,3652,28,21,94,0.22950819672131148,0.5714285714285714,0.9696969696969697
청년 실업,0,1,3058,28,14,31,0.4745762711864407,0.6666666666666666,0.9856275950175662,3058,18,14,31,0.3673469387755102,0.5625,0.9855815443768023
청년 실업,0,2,1999,20,4,8,0.7142857142857143,0.8333333333333334,0.9940915805022157,1999,12,4,8,0.6,0.75,0.9940682155215027
청년 실업,0,3,929,6,0,1,0.8571428571428571,1.0,0.9989316239316239,929,2,0,1,0.6666666666666666,1.0,0.9989270386266095
청년 실업,0,4,341,1,0,0,1.0,1.0,1.0,341,0,0,0,0,0,1.0
청년 실업,0,5,89,1,0,0,1.0,1.0,1.0,89,0,0,0,0,0,1.0
